task,model,log_path,loss_source,recons_key,metrics,drop_first_stage,n,pearson_r,pearson_p,spearman_rho,spearman_p
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_out,relative_diff,True,19,-0.9987421515914642,1.5278993903414374e-23,-1.0,0.0
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_z5,relative_diff,True,19,-0.9764150046087753,9.374656096551564e-13,-0.9982456140350877,2.579846712328762e-22
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_z4,relative_diff,True,19,-0.9812799989121942,1.337527709166273e-13,-0.9824561403508772,7.735589908885873e-14
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_z3,relative_diff,True,19,-0.9845509272306681,2.643466121415297e-14,-0.9859649122807018,1.1746402861484317e-14
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_z2,relative_diff,True,19,0.9677477962203416,1.3017529415248174e-11,0.956140350877193,1.706643162009303e-10
ci10,ci10_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci10_resnet18_1e-05lr.pt,train,recons_z1,relative_diff,True,19,0.9677647991881229,1.2960061151356984e-11,0.9771929824561404,7.06769744556743e-13
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_out,relative_diff,True,19,-0.9988833537369334,5.555750946569684e-24,-1.0,0.0
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_z5,relative_diff,True,19,-0.9482345411791933,6.794803310314346e-10,-0.9947368421052631,2.8973718112997517e-18
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_z4,relative_diff,True,19,-0.9587203161409882,1.0284303336947509e-10,-0.987719298245614,3.79790243650229e-15
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_z3,relative_diff,True,19,-0.9718532473674258,4.14927617241333e-12,-0.975438596491228,1.3190643557743196e-12
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_z2,relative_diff,True,19,-0.27419510228085336,0.2559605774404494,0.13508771929824562,0.5813619464266702
ci100,ci100_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/ci100_resnet18_1e-05lr.pt,train,recons_z1,relative_diff,True,19,0.9642494322502834,3.086798053817032e-11,0.9842105263157893,3.177817784867256e-14
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_out,relative_diff,True,19,-0.9854756621740142,1.5691989682921545e-14,-0.9912280701754386,2.200851783163643e-16
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_z5,relative_diff,True,19,-0.919920793254778,2.5138554158409883e-08,-0.9894736842105263,1.0305395814380572e-15
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_z4,relative_diff,True,19,-0.967839939323639,1.2708757635870173e-11,-0.9947368421052631,2.8973718112997517e-18
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_z3,relative_diff,True,19,-0.9526326641543713,3.243026120001741e-10,-0.9631578947368421,3.9711483435074036e-11
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_z2,relative_diff,True,19,-0.7268889266926184,0.0004225664560088787,-0.7070175438596492,0.0007119266564509043
nette,nette_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/nette_resnet18_1e-05lr.pt,train,recons_z1,relative_diff,True,19,-0.5070598269179565,0.026704299328296155,-0.5052631578947369,0.027336969514420186
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_out,relative_diff,True,19,-0.9938456176115679,1.0918830920239913e-17,-0.9789473684210527,3.6006418847130656e-13
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_z5,relative_diff,True,19,-0.3481138407235079,0.1441469182640142,-0.5982456140350877,0.00681490524003441
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_z4,relative_diff,True,19,-0.909560027274067,6.820837337116454e-08,-0.980701754385965,1.728841404624303e-13
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_z3,relative_diff,True,19,-0.9897208559533255,8.427740340253545e-16,-0.987719298245614,3.79790243650229e-15
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_z2,relative_diff,True,19,-0.9790564393104336,3.44639742630439e-13,-0.9473684210526316,7.800829220458973e-10
woof,woof_resnet18,/data/dn/FRTP_revision1/imagecls/logs_stage/woof_resnet18_1e-05lr.pt,train,recons_z1,relative_diff,True,19,-0.9773124135384539,6.761949831159764e-13,-0.9421052631578948,1.7223836464188943e-09
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_out,relative_diff,True,19,-0.9988693127584507,6.1780402779816794e-24,-0.9982456140350877,2.579846712328762e-22
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_z5,relative_diff,True,19,-0.8803584309406636,6.641914105433885e-07,-0.9719298245614034,4.0553496335086995e-12
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_z4,relative_diff,True,19,-0.9444920893642537,1.2141593345038131e-09,-0.9964912280701754,9.285165080058482e-20
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_z3,relative_diff,True,19,-0.9780132082164881,5.191322074031009e-13,-0.9964912280701754,9.285165080058482e-20
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_z2,relative_diff,True,19,0.033163951084181346,0.8927852473749367,-0.32280701754385965,0.1776654571308196
tin,tin_resnet34,/data/dn/FRTP_revision1/imagecls/logs_stage/tin_resnet34_1e-05lr.pt,train,recons_z1,relative_diff,True,19,0.9862160480012803,1.0083730679558705e-14,0.9859649122807018,1.1746402861484317e-14
